n,belief,color,pos,entropy,split_score_color,split_score_pos,entropy_dec_color,entropy_dec_pos
6,"[0.41, 0.07, 0.32, 0.01, 0.02, 0.17]",011000,111011,1.9358763403247203,0.9182958340544896,0.6500224216483541,1.9358763403247203,1.9358763403247203
3,"[0.44, 0.32, 0.24]",100,101,1.5413152774012364,0.9182958340544896,0.9182958340544896,1.5413152774012364,1.5413152774012364
4,"[0.27, 0.16, 0.37, 0.2]",0111,1001,1.9281531999304042,0.8112781244591328,1.0,1.9281531999304042,1.9281531999304042
2,"[0.45, 0.55]",00,11,0.9927744539878083,0.0,0.0,0,0
3,"[0.67, 0.25, 0.08]",010,111,1.178612384724336,0.9182958340544896,0.0,1.178612384724336,0
6,"[0.26, 0.21, 0.01, 0.16, 0.2, 0.16]",000011,011000,2.3549695852970287,0.9182958340544896,0.9182958340544896,2.3549695852970287,2.3549695852970287
6,"[0.2, 0.13, 0.02, 0.52, 0.09, 0.04]",000011,111101,1.9488915038757344,0.9182958340544896,0.6500224216483541,1.9488915038757344,1.9488915038757344
2,"[0.2, 0.8]",01,10,0.7219280948873623,1.0,1.0,0.7219280948873623,0.7219280948873623
5,"[0.05, 0.18, 0.14, 0.2, 0.43]",00111,01111,2.046464132183301,0.9709505944546686,0.7219280948873623,2.046464132183301,2.046464132183301
2,"[0.6, 0.4]",01,11,0.9709505944546686,1.0,0.0,0.9709505944546686,0
3,"[0.16, 0.43, 0.41]",000,110,1.473966023359408,0.0,0.9182958340544896,0,1.473966023359408
4,"[0.08, 0.74, 0.1, 0.08]",1111,1111,1.2366678897205656,0.0,0.0,0,0
5,"[0.26, 0.02, 0.11, 0.31, 0.3]",10111,11101,2.013336350105451,0.7219280948873623,0.7219280948873623,2.013336350105451,2.013336350105451
6,"[0.11, 0.07, 0.2, 0.13, 0.42, 0.07]",111101,010000,2.260072922733664,0.6500224216483541,0.6500224216483541,2.260072922733664,2.260072922733664
4,"[0.07, 0.35, 0.18, 0.4]",1100,0101,1.7727345510853927,1.0,1.0,1.7727345510853927,1.7727345510853927
6,"[0.48, 0.23, 0.03, 0.12, 0.08, 0.06]",101001,100100,2.0498128143840137,1.0,0.9182958340544896,2.0498128143840137,2.0498128143840137
2,"[0.44, 0.56]",00,11,0.9895875212220556,0.0,0.0,0,0
2,"[0.88, 0.12]",00,00,0.5293608652873644,0.0,0.0,0,0
6,"[0.26, 0.01, 0.05, 0.54, 0.11, 0.03]",111000,111111,1.769919854073662,1.0,0.0,1.769919854073662,0
6,"[0.19, 0.03, 0.18, 0.05, 0.01, 0.54]",011110,011111,1.8148789310265512,0.9182958340544896,0.6500224216483541,1.8148789310265512,1.8148789310265512
5,"[0.02, 0.17, 0.1, 0.26, 0.45]",10000,00110,1.9033464772083932,0.7219280948873623,0.9709505944546686,1.9033464772083932,1.9033464772083932
2,"[0.51, 0.49]",01,10,0.9997114417528099,1.0,1.0,0.9997114417528099,0.9997114417528099
3,"[0.08, 0.78, 0.14]",010,110,0.9682127699741065,0.9182958340544896,0.9182958340544896,0.9682127699741065,0.9682127699741065
3,"[0.62, 0.03, 0.35]",010,000,1.109456546382489,0.9182958340544896,0.0,1.109456546382489,0
4,"[0.49, 0.2, 0.2, 0.11]",0100,0101,1.783339650153225,0.8112781244591328,1.0,1.783339650153225,1.783339650153225
3,"[0.79, 0.15, 0.06]",010,111,0.9227380593302662,0.9182958340544896,0.0,0.9227380593302662,0
2,"[0.73, 0.27]",10,01,0.8414646362081757,1.0,1.0,0.8414646362081757,0.8414646362081757
4,"[0.36, 0.05, 0.37, 0.22]",0000,1000,1.7580140831282072,0.0,0.8112781244591328,0,1.7580140831282072
2,"[0.05, 0.95]",10,00,0.28639695711595625,1.0,0.0,0.28639695711595625,0
4,"[0.16, 0.41, 0.23, 0.2]",0001,0101,1.902454999010725,0.8112781244591328,1.0,1.902454999010725,1.902454999010725
2,"[0.94, 0.06]",00,10,0.32744491915447627,0.0,1.0,0,0.32744491915447627
2,"[0.99, 0.01]",00,01,0.08079313589591118,0.0,1.0,0,0.08079313589591118
4,"[0.44, 0.46, 0.07, 0.03]",1100,0101,1.456804058222421,1.0,1.0,1.456804058222421,1.456804058222421
6,"[0.28, 0.22, 0.12, 0.01, 0.33, 0.04]",100110,001110,2.1418762960235616,1.0,1.0,2.1418762960235616,2.1418762960235616
4,"[0.01, 0.36, 0.4, 0.23]",0001,0101,1.6134927014074343,0.8112781244591328,1.0,1.6134927014074343,1.6134927014074343
4,"[0.03, 0.64, 0.22, 0.11]",0100,0100,1.394694880602782,0.8112781244591328,0.8112781244591328,1.394694880602782,1.394694880602782
5,"[0.16, 0.06, 0.42, 0.14, 0.22]",11110,10010,2.069880476976106,0.7219280948873623,0.9709505944546686,2.069880476976106,2.069880476976106
3,"[0.84, 0.1, 0.06]",000,001,0.7870189951085605,0.0,0.9182958340544896,0,0.7870189951085605
5,"[0.29, 0.07, 0.3, 0.26, 0.08]",11010,10111,2.104345351244457,0.9709505944546686,0.7219280948873623,2.104345351244457,2.104345351244457
4,"[0.01, 0.68, 0.21, 0.1]",0111,0010,1.249801989452218,0.8112781244591328,0.8112781244591328,1.249801989452218,1.249801989452218
2,"[0.67, 0.33]",10,00,0.9149263727797274,1.0,0.0,0.9149263727797274,0
5,"[0.3, 0.57, 0.01, 0.06, 0.06]",10001,11110,1.5368462029317276,0.9709505944546686,0.7219280948873623,1.5368462029317276,1.5368462029317276
4,"[0.04, 0.78, 0.07, 0.11]",0000,0000,1.0841901364680362,0.0,0.0,0,0
3,"[0.02, 0.11, 0.87]",110,000,0.6379578703362283,0.9182958340544896,0.0,0.6379578703362283,0
3,"[0.7, 0.22, 0.08]",011,001,1.132283121813043,0.9182958340544896,0.9182958340544896,1.132283121813043,1.132283121813043
3,"[0.03, 0.9, 0.07]",101,101,0.5571246835123504,0.9182958340544896,0.9182958340544896,0.5571246835123504,0.5571246835123504
2,"[0.28, 0.72]",00,11,0.8554508105601306,0.0,0.0,0,0
4,"[0.08, 0.53, 0.2, 0.19]",0010,1101,1.6965665023244754,0.8112781244591328,0.8112781244591328,1.6965665023244754,1.6965665023244754
3,"[0.46, 0.48, 0.06]",011,100,1.2671379395990745,0.9182958340544896,0.9182958340544896,1.2671379395990745,1.2671379395990745
2,"[0.02, 0.98]",11,00,0.14144054254182067,0.0,0.0,0,0
6,"[0.24, 0.01, 0.08, 0.41, 0.1, 0.16]",110101,001111,2.1346760582194966,0.9182958340544896,0.9182958340544896,2.1346760582194966,2.1346760582194966
4,"[0.58, 0.26, 0.05, 0.11]",1100,0110,1.5274790030895782,1.0,1.0,1.5274790030895782,1.5274790030895782
2,"[1.0, 0.0]",10,01,-0.0,1.0,1.0,0.0,0.0
3,"[0.32, 0.32, 0.36]",010,111,1.582683189255492,0.9182958340544896,0.0,1.582683189255492,0
3,"[0.21, 0.37, 0.42]",000,101,1.5291984681413942,0.0,0.9182958340544896,0,1.5291984681413942
3,"[0.41, 0.08, 0.51]",101,110,1.3143229434758474,0.9182958340544896,0.9182958340544896,1.3143229434758474,1.3143229434758474
2,"[0.15, 0.85]",10,01,0.6098403047164004,1.0,1.0,0.6098403047164004,0.6098403047164004
4,"[0.21, 0.02, 0.61, 0.16]",0011,1111,1.4437197550778245,1.0,0.0,1.4437197550778245,0
4,"[0.65, 0.01, 0.03, 0.31]",0101,0100,1.145967380064663,1.0,0.8112781244591328,1.145967380064663,1.145967380064663
2,"[0.07, 0.93]",01,10,0.36592365090022316,1.0,1.0,0.36592365090022316,0.36592365090022316
